epoch,train_mse,val_mse
1,0.065405,0.023267
2,0.024027,0.020616
3,0.021993,0.019115
4,0.021154,0.018775
5,0.020800,0.018716
6,0.020607,0.018561
7,0.020162,0.018309
8,0.020008,0.017982
9,0.019543,0.018069
10,0.019240,0.017913
11,0.019349,0.017818
12,0.018899,0.018425
13,0.018958,0.017686
14,0.018620,0.018381
15,0.018945,0.018412
16,0.018602,0.018782
17,0.018624,0.018579
18,0.018306,0.017802
19,0.018369,0.018263
20,0.018179,0.017889
21,0.017951,0.017473
22,0.017427,0.017755
23,0.017742,0.018292
24,0.017577,0.017962
25,0.017434,0.017863
26,0.017432,0.017847
27,0.017070,0.017746
28,0.017019,0.018946
29,0.017237,0.018497
30,0.016959,0.017715
31,0.016945,0.017824
32,0.017067,0.018352
33,0.016446,0.018023
34,0.016450,0.017938
35,0.016431,0.017614
36,0.016567,0.017791
37,0.016320,0.018335
38,0.016924,0.017540
39,0.016219,0.017963
40,0.016408,0.018128
41,0.016177,0.018420
42,0.015680,0.018632
43,0.015978,0.017971
44,0.015554,0.017982
45,0.015985,0.018593
46,0.015411,0.018129
47,0.015569,0.019103
48,0.015412,0.018382
49,0.015641,0.021437
50,0.015525,0.018131
51,0.014983,0.018479
52,0.014938,0.017901
53,0.015323,0.018519
54,0.015181,0.017857
55,0.015018,0.018533
56,0.014428,0.018535
57,0.014334,0.017927
58,0.014534,0.019275
59,0.014137,0.018180
60,0.014223,0.018457
