epoch,train_mse,val_mse
1,0.067948,0.026340
2,0.023719,0.023256
3,0.022371,0.022218
4,0.021907,0.021222
5,0.021255,0.021557
6,0.021255,0.021424
7,0.021310,0.020994
8,0.020815,0.021196
9,0.020914,0.021117
10,0.020814,0.020854
11,0.020641,0.020737
12,0.020231,0.020764
13,0.020189,0.021035
14,0.020160,0.020834
15,0.019823,0.021933
16,0.020261,0.020528
17,0.020133,0.020691
18,0.019875,0.020579
19,0.019512,0.020569
20,0.019678,0.020381
21,0.019254,0.020197
22,0.019234,0.020041
23,0.019441,0.020218
24,0.019235,0.020419
25,0.018956,0.019987
26,0.019021,0.020875
27,0.018710,0.020371
28,0.018871,0.020596
29,0.018803,0.019563
30,0.018695,0.020309
31,0.018749,0.020662
32,0.018502,0.020252
33,0.018323,0.019645
34,0.018519,0.019685
35,0.018015,0.019642
36,0.018305,0.019468
37,0.018408,0.019347
38,0.017778,0.019811
39,0.018002,0.019322
40,0.018031,0.020182
41,0.017853,0.019697
42,0.017550,0.019997
43,0.017509,0.019614
44,0.017604,0.020009
45,0.017467,0.019775
46,0.017876,0.019811
47,0.017581,0.019939
48,0.017037,0.019551
49,0.017064,0.019547
50,0.017061,0.019735
51,0.016790,0.020658
52,0.017307,0.019573
53,0.016822,0.020784
54,0.016622,0.020662
55,0.016821,0.019469
56,0.016678,0.021830
57,0.016730,0.019242
58,0.016222,0.021593
59,0.016540,0.020311
60,0.016385,0.020448
