epoch,train_mse,val_mse
1,0.068850,0.024266
2,0.022637,0.021612
3,0.021143,0.021020
4,0.020862,0.020824
5,0.019980,0.020548
6,0.019768,0.021277
7,0.019536,0.020252
8,0.019504,0.019967
9,0.019545,0.019968
10,0.019209,0.020066
11,0.019109,0.019784
12,0.019036,0.019762
13,0.018911,0.020062
14,0.018704,0.019922
15,0.018677,0.019713
16,0.018529,0.019694
17,0.018697,0.019741
18,0.018488,0.019525
19,0.018463,0.019559
20,0.018405,0.019879
21,0.018473,0.019785
22,0.018302,0.019682
23,0.018216,0.020003
24,0.018220,0.019826
25,0.018130,0.020185
26,0.018027,0.019517
27,0.018174,0.020107
28,0.017981,0.019877
29,0.017631,0.019665
30,0.017667,0.019565
31,0.017639,0.019621
32,0.017801,0.020547
33,0.017444,0.020247
34,0.017704,0.019721
35,0.017246,0.019877
36,0.016990,0.019986
37,0.017405,0.019977
38,0.017248,0.021290
39,0.017199,0.020026
40,0.017210,0.019899
41,0.017540,0.020507
42,0.017052,0.019502
43,0.016679,0.020038
44,0.016692,0.019737
45,0.016475,0.020154
46,0.016572,0.020096
47,0.016265,0.020891
48,0.016262,0.020807
49,0.016048,0.019989
50,0.016130,0.020021
51,0.016091,0.020372
52,0.016037,0.019934
53,0.015384,0.020047
54,0.015929,0.022112
55,0.015888,0.021021
56,0.015548,0.022406
57,0.015495,0.020838
58,0.015193,0.020715
59,0.015128,0.021781
60,0.015611,0.020182
