epoch,train_mse,val_mse
1,0.059838,0.018550
2,0.014074,0.016057
3,0.012696,0.015317
4,0.012298,0.015098
5,0.011889,0.014950
6,0.011491,0.014622
7,0.011234,0.014595
8,0.011290,0.014509
9,0.011238,0.014211
10,0.011076,0.014221
11,0.010953,0.014371
12,0.010851,0.014192
13,0.010984,0.014228
14,0.010781,0.014141
15,0.010843,0.014133
16,0.010944,0.014070
17,0.010964,0.014051
18,0.010886,0.014144
19,0.010782,0.014080
20,0.010856,0.014182
21,0.010815,0.014093
22,0.010623,0.014218
23,0.010799,0.014196
24,0.010832,0.014203
25,0.010839,0.014098
26,0.010659,0.013777
27,0.010564,0.014320
28,0.010521,0.013857
29,0.010430,0.013820
30,0.010501,0.014005
31,0.010417,0.013860
32,0.010327,0.013756
33,0.010336,0.014128
34,0.010434,0.014134
35,0.010582,0.014065
36,0.010350,0.013863
37,0.010400,0.014015
38,0.010200,0.013765
39,0.010103,0.013919
40,0.010111,0.013487
41,0.010338,0.013961
42,0.010054,0.013997
43,0.009999,0.014278
44,0.010152,0.013536
45,0.009844,0.013730
46,0.010065,0.013248
47,0.009971,0.014131
48,0.010116,0.013770
49,0.009757,0.013756
50,0.009718,0.013356
51,0.009763,0.013322
52,0.009575,0.013530
53,0.009439,0.013476
54,0.009700,0.013291
55,0.009969,0.013035
56,0.009520,0.013103
57,0.009779,0.013809
58,0.009698,0.013380
59,0.009599,0.013820
60,0.009320,0.013153
