epoch,train_mse,val_mse
1,0.058072,0.020563
2,0.016134,0.016046
3,0.014196,0.017571
4,0.012840,0.014395
5,0.011981,0.014620
6,0.011255,0.015581
7,0.011058,0.014424
8,0.011046,0.013584
9,0.010522,0.014920
10,0.010485,0.014696
11,0.010067,0.014424
12,0.010002,0.013684
13,0.010051,0.014185
14,0.010126,0.015527
15,0.009738,0.014273
16,0.009276,0.012946
17,0.009275,0.013030
18,0.009300,0.013683
19,0.009184,0.013315
20,0.009099,0.013116
21,0.009123,0.013039
22,0.008748,0.013651
23,0.009060,0.013110
24,0.008671,0.014624
25,0.009143,0.014310
26,0.008744,0.014046
27,0.008786,0.013970
28,0.008790,0.013056
29,0.008476,0.014683
30,0.008757,0.013246
31,0.008133,0.013234
32,0.007942,0.013242
33,0.008079,0.013198
34,0.008687,0.014966
35,0.008028,0.015530
36,0.007884,0.014026
37,0.007732,0.014030
38,0.008212,0.013330
39,0.008096,0.013723
40,0.008643,0.014155
41,0.007663,0.014786
42,0.007970,0.014493
43,0.007949,0.013526
44,0.007707,0.015006
45,0.007438,0.013733
46,0.007295,0.013343
47,0.007092,0.015000
48,0.007408,0.013484
49,0.007482,0.014749
50,0.007328,0.013966
51,0.007473,0.013555
52,0.007196,0.014083
53,0.007388,0.014390
54,0.007547,0.014260
55,0.007353,0.014229
56,0.006670,0.013704
57,0.007288,0.015275
58,0.007200,0.014193
59,0.006913,0.016605
60,0.007258,0.014593
