epoch,train_mse,val_mse
1,0.060658,0.018588
2,0.014283,0.016236
3,0.013051,0.014838
4,0.012081,0.014393
5,0.011793,0.014253
6,0.011553,0.013865
7,0.011478,0.014249
8,0.011588,0.013678
9,0.011312,0.013493
10,0.011079,0.013416
11,0.010977,0.013235
12,0.010917,0.013399
13,0.011019,0.013131
14,0.010851,0.013263
15,0.010807,0.013198
16,0.010764,0.013266
17,0.010714,0.013011
18,0.010845,0.013089
19,0.010702,0.012848
20,0.010812,0.012886
21,0.010717,0.013193
22,0.010718,0.013090
23,0.010490,0.013258
24,0.010698,0.012985
25,0.010784,0.012880
26,0.010641,0.012790
27,0.010569,0.012891
28,0.010659,0.012582
29,0.010326,0.012512
30,0.010461,0.012639
31,0.010709,0.012612
32,0.010476,0.012556
33,0.010330,0.012551
34,0.010254,0.012402
35,0.010387,0.013010
36,0.010315,0.012693
37,0.010127,0.012505
38,0.010069,0.012212
39,0.009953,0.012429
40,0.009839,0.012513
41,0.010135,0.012283
42,0.010280,0.012386
43,0.009984,0.012185
44,0.009887,0.012282
45,0.009880,0.012039
46,0.009714,0.012401
47,0.009926,0.012204
48,0.009808,0.012320
49,0.009842,0.011945
50,0.009410,0.012203
51,0.009856,0.011701
52,0.009929,0.012652
53,0.009522,0.011973
54,0.009745,0.012347
55,0.009524,0.012102
56,0.009597,0.011821
57,0.009181,0.012035
58,0.009390,0.012815
59,0.009695,0.012100
60,0.009337,0.012583
