epoch,train_mse,val_mse
1,0.062460,0.023547
2,0.019105,0.018223
3,0.016103,0.015564
4,0.014094,0.012953
5,0.012601,0.012598
6,0.012151,0.012362
7,0.011856,0.012107
8,0.011172,0.011493
9,0.011043,0.010891
10,0.010976,0.011861
11,0.010745,0.010799
12,0.010545,0.011402
13,0.010242,0.011601
14,0.010647,0.014183
15,0.010120,0.010949
16,0.010241,0.012309
17,0.009880,0.011023
18,0.009602,0.010985
19,0.009520,0.012325
20,0.009364,0.010605
21,0.009382,0.012007
22,0.009215,0.010915
23,0.009599,0.011327
24,0.009061,0.012113
25,0.008938,0.011897
26,0.009039,0.011506
27,0.008669,0.012066
28,0.009046,0.011302
29,0.008693,0.012834
30,0.008742,0.011813
31,0.008447,0.011979
32,0.008468,0.011205
33,0.008542,0.011462
34,0.008035,0.012072
35,0.008494,0.010810
36,0.007993,0.012592
37,0.008400,0.011597
38,0.008054,0.012206
39,0.008357,0.011665
40,0.007870,0.012365
41,0.008210,0.010836
42,0.007794,0.011198
43,0.007876,0.010739
44,0.007795,0.011013
45,0.007774,0.011327
46,0.007593,0.012801
47,0.007806,0.012962
48,0.008115,0.013146
49,0.007412,0.011965
50,0.007721,0.011414
51,0.007672,0.012130
52,0.007320,0.011811
53,0.006964,0.011254
54,0.006964,0.011456
55,0.007458,0.011013
56,0.006969,0.012031
57,0.006928,0.011115
58,0.007138,0.011493
59,0.006923,0.011130
60,0.006892,0.010602
