epoch,train_mse,val_mse
1,0.061286,0.016685
2,0.013979,0.014528
3,0.013170,0.013796
4,0.012213,0.013491
5,0.011855,0.013796
6,0.011683,0.013209
7,0.011277,0.013233
8,0.011426,0.013209
9,0.011301,0.012959
10,0.011005,0.013002
11,0.011060,0.012909
12,0.011039,0.012985
13,0.010929,0.013006
14,0.011053,0.012772
15,0.010746,0.012960
16,0.010819,0.012754
17,0.010821,0.013022
18,0.010951,0.012581
19,0.010662,0.012612
20,0.010596,0.012548
21,0.010631,0.012843
22,0.010428,0.012678
23,0.010529,0.012828
24,0.010530,0.013061
25,0.010675,0.012659
26,0.010526,0.012650
27,0.010772,0.012564
28,0.010675,0.012879
29,0.010807,0.012459
30,0.010452,0.012821
31,0.010347,0.012492
32,0.010225,0.012948
33,0.010184,0.012054
34,0.010114,0.012396
35,0.010005,0.012612
36,0.010247,0.013003
37,0.010226,0.012344
38,0.009954,0.012878
39,0.009972,0.012598
40,0.010014,0.012753
41,0.009894,0.012899
42,0.009748,0.013023
43,0.009955,0.012387
44,0.009779,0.012081
45,0.009705,0.012312
46,0.009682,0.012808
47,0.010031,0.012509
48,0.009474,0.013387
49,0.009652,0.012785
50,0.009461,0.013151
51,0.009475,0.012070
52,0.009534,0.012006
53,0.009682,0.012828
54,0.009126,0.012584
55,0.009396,0.012111
56,0.009147,0.013209
57,0.009467,0.013486
58,0.009348,0.011994
59,0.009092,0.011959
60,0.009325,0.012901
