epoch,train_mse,val_mse
1,0.047532,0.010668
2,0.009735,0.007935
3,0.007742,0.006895
4,0.006759,0.006190
5,0.006335,0.006673
6,0.006201,0.006042
7,0.005774,0.005736
8,0.005444,0.005792
9,0.005436,0.005722
10,0.005620,0.005719
11,0.004952,0.005317
12,0.004797,0.005120
13,0.004874,0.005206
14,0.004834,0.005280
15,0.004590,0.005441
16,0.004630,0.006174
17,0.004289,0.005246
18,0.004213,0.004968
19,0.004034,0.004863
20,0.003960,0.005531
21,0.003849,0.005305
22,0.003854,0.005388
23,0.003913,0.005201
24,0.003551,0.005164
25,0.003779,0.005418
26,0.003742,0.005332
27,0.003533,0.005048
28,0.003371,0.005104
29,0.003530,0.005283
30,0.003497,0.005262
31,0.003175,0.004880
32,0.003392,0.005277
33,0.003322,0.005644
34,0.003521,0.005045
35,0.002988,0.005012
36,0.002896,0.005246
37,0.002835,0.005608
38,0.002924,0.004926
39,0.002679,0.005509
40,0.002709,0.004948
41,0.002607,0.004981
42,0.002627,0.004788
43,0.002722,0.005532
44,0.002404,0.005998
45,0.003155,0.005213
46,0.002517,0.004986
47,0.002307,0.004958
48,0.002300,0.004855
49,0.002215,0.006263
50,0.002437,0.005371
51,0.002163,0.005586
52,0.002242,0.004572
53,0.002314,0.006140
54,0.002151,0.004758
55,0.002590,0.005390
56,0.002270,0.005552
57,0.002164,0.005400
58,0.002082,0.005511
59,0.001864,0.005534
60,0.001865,0.006165
