step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.1000,1.0000,202.248,0.2322,91.022,0.0029,255.8460,-1.9451,45.0000,146.6
20000,0.7333,1.0000,469.070,0.1384,354.547,0.0024,262.7153,-2.3232,40.0000,312.5
30000,0.8000,1.0000,478.809,0.1317,537.238,0.0021,193.3976,-2.3556,35.0000,479.4
40000,0.9000,1.0000,546.968,0.1334,500.755,0.0020,178.4128,-2.4278,30.0000,645.4
50000,0.8333,1.0000,500.160,0.1313,482.526,0.0019,251.4547,-2.3798,25.0000,813.7
60000,0.8333,1.0000,525.078,0.1356,500.942,0.0017,206.2700,-2.4226,20.0000,980.3
70000,0.8333,1.0000,521.132,0.1341,508.957,0.0016,363.2010,-2.3873,15.0000,1150.2
80000,0.8000,1.0000,525.211,0.1326,449.125,0.0016,442.8198,-2.4163,10.0000,1328.3
90000,0.8333,1.0000,566.217,0.1304,445.352,0.0014,296.5975,-2.4008,5.0000,1506.4
100000,0.3000,0.8667,205.124,0.1133,362.495,0.0014,479.2983,-263.4972,0.0000,1674.1
110000,0.5333,1.0000,367.681,0.1293,333.728,0.0312,209.7358,-276.6722,0.0000,1826.8
120000,0.5000,0.9333,338.399,0.1334,327.330,0.1466,412.2035,-228.7019,0.0000,1980.0
130000,0.5667,0.9667,388.242,0.1288,329.850,0.1363,535.1334,-215.6475,0.0000,2138.8
140000,0.5000,0.9333,350.384,0.1376,453.922,0.1360,308.4062,-206.5380,0.0000,2292.5
150000,0.6000,0.9000,384.666,0.1226,449.570,0.1369,817.0712,-207.3496,0.0000,2447.1
160000,0.4667,1.0000,343.370,0.1190,452.883,0.1360,367.5396,-204.1508,0.0000,2592.9
170000,0.6333,1.0000,467.687,0.1280,453.211,0.1395,357.2249,-201.0913,0.0000,2749.2
180000,0.7333,0.9667,456.845,0.1313,404.760,0.1359,476.1180,-201.1094,0.0000,2940.9
190000,0.6000,1.0000,398.455,0.1315,368.708,0.1324,480.8215,-205.5839,0.0000,3109.0
200000,0.7333,1.0000,510.130,0.1437,483.347,0.1306,484.0929,-193.4021,0.0000,3295.6
