step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.9667,1.0000,554.803,0.1389,184.330,0.0030,152.1617,-1.9793,45.0000,122.7
20000,0.9667,1.0000,575.949,0.1284,538.489,0.0022,213.7945,-2.3773,40.0000,266.5
30000,0.9667,1.0000,572.848,0.1286,520.921,0.0022,349.2839,-2.3874,35.0000,405.5
40000,0.9667,1.0000,572.341,0.1267,557.430,0.0020,166.9853,-2.4146,30.0000,535.1
50000,0.9667,1.0000,572.527,0.1279,560.988,0.0018,191.2399,-2.4579,25.0000,653.0
60000,1.0000,1.0000,584.356,0.1279,520.720,0.0016,104.7529,-2.4635,20.0000,772.7
70000,0.9667,1.0000,586.125,0.1308,555.916,0.0015,345.2413,-2.4564,15.0000,891.5
80000,0.9667,1.0000,600.818,0.1293,549.692,0.0013,97.6291,-2.3952,10.0000,1010.7
90000,1.0000,1.0000,596.520,0.1290,586.112,0.0011,246.8117,-2.4852,5.0000,1126.7
100000,0.3667,0.9000,210.370,0.1234,438.240,0.0011,125.6357,-310.0877,0.0000,1243.1
110000,0.5000,0.8333,276.282,0.0890,117.487,0.0244,207.2776,-339.8254,0.0000,1348.4
120000,0.7667,1.0000,475.609,0.1402,551.731,0.1380,282.0390,-297.2560,0.0000,1454.5
130000,0.8333,0.9667,530.432,0.1364,555.247,0.1258,412.0308,-288.0414,0.0000,1559.7
140000,0.8000,1.0000,541.165,0.1353,457.303,0.1161,280.8879,-281.1614,0.0000,1665.2
150000,0.9000,0.9667,573.237,0.1266,458.034,0.1156,355.2349,-285.3160,0.0000,1772.0
160000,0.8667,1.0000,587.676,0.1258,548.448,0.1113,147.1981,-290.4897,0.0000,1877.8
170000,0.9333,1.0000,645.290,0.1338,590.614,0.1093,198.4435,-266.7118,0.0000,1984.7
180000,0.8667,1.0000,595.492,0.1323,532.577,0.1067,190.5393,-287.2825,0.0000,2089.8
190000,0.8333,1.0000,570.936,0.1287,514.401,0.1032,374.5820,-277.2103,0.0000,2196.7
200000,0.8333,1.0000,600.790,0.1281,522.801,0.1007,446.2269,-291.9349,0.0000,2292.6
