step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.9667,1.0000,554.107,0.1346,314.574,0.0030,143.6359,-2.1046,45.0000,156.8
20000,0.9667,1.0000,582.554,0.1268,512.486,0.0018,177.0108,-2.3975,40.0000,329.3
30000,1.0000,1.0000,561.666,0.1304,476.129,0.0018,173.5414,-2.4032,35.0000,500.3
40000,0.9667,1.0000,551.154,0.1295,472.601,0.0018,199.8540,-2.4014,30.0000,671.5
50000,0.9667,1.0000,560.021,0.1298,455.356,0.0018,490.4241,-2.4168,25.0000,854.0
60000,1.0000,1.0000,549.493,0.1304,555.706,0.0017,165.2359,-2.4428,20.0000,1062.2
70000,0.8667,1.0000,545.597,0.1295,556.944,0.0016,261.4718,-2.4711,15.0000,1239.3
80000,0.9000,1.0000,577.433,0.1325,516.489,0.0014,187.9586,-2.4746,10.0000,1391.0
90000,0.9000,1.0000,573.163,0.1294,575.434,0.0013,255.5868,-2.4583,5.0000,1541.2
100000,0.5333,0.9000,367.751,0.1189,554.899,0.0014,231.6618,-300.9838,0.0000,1690.9
110000,0.4667,0.9333,319.864,0.1034,343.340,0.0305,269.2451,-328.4579,0.0000,1830.4
120000,0.6000,0.9000,439.890,0.1240,528.889,0.1793,300.9561,-281.1385,0.0000,1970.5
130000,0.7000,0.9333,468.572,0.1239,478.807,0.1609,249.2219,-255.1088,0.0000,2111.6
140000,0.7667,1.0000,528.579,0.1402,549.772,0.1598,369.9843,-252.9397,0.0000,2251.3
150000,0.8667,1.0000,609.249,0.1515,492.346,0.1605,241.0468,-237.3393,0.0000,2390.1
160000,0.7667,1.0000,586.680,0.1399,503.646,0.1580,276.3646,-238.3759,0.0000,2532.1
170000,0.7667,1.0000,570.724,0.1366,676.311,0.1587,452.9990,-235.7184,0.0000,2669.1
180000,0.7333,1.0000,530.123,0.1510,509.157,0.1562,289.3417,-246.2334,0.0000,2805.1
190000,0.7333,1.0000,527.720,0.1461,555.260,0.1517,430.4692,-258.4383,0.0000,2937.0
200000,0.7000,1.0000,526.001,0.1413,541.363,0.1499,163.6422,-267.7549,0.0000,3067.2
