step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,1.0000,1.0000,576.780,0.1291,-78.035,0.0031,1832.2214,-2.4157,45.0000,155.4
20000,1.0000,1.0000,584.902,0.1264,-6.078,0.0019,2063.2493,-2.4101,40.0000,349.3
30000,0.9667,1.0000,575.470,0.1247,27.520,0.0011,261.6865,-2.4637,35.0000,543.8
40000,1.0000,1.0000,571.260,0.1214,342.381,0.0016,144.9533,-2.4421,30.0000,732.6
50000,0.9667,1.0000,537.935,0.1197,524.681,0.0017,169.1417,-2.4321,25.0000,918.3
60000,1.0000,1.0000,588.015,0.1261,503.095,0.0015,170.1271,-2.4710,20.0000,1113.1
70000,1.0000,1.0000,576.093,0.1275,683.066,0.0014,119.7698,-2.4797,15.0000,1323.5
80000,0.9667,1.0000,576.282,0.1215,737.409,0.0012,126.7385,-2.4813,10.0000,1505.7
90000,1.0000,1.0000,595.489,0.1244,764.486,0.0010,166.8035,-2.4710,5.0000,1694.6
100000,1.0000,1.0000,697.480,0.1331,764.103,0.0010,119.1147,-319.2773,0.0000,1879.0
110000,1.0000,1.0000,735.664,0.1317,743.662,0.0224,50.4133,-361.7721,0.0000,2018.2
120000,1.0000,1.0000,752.130,0.1294,750.170,0.0959,46.3248,-348.6285,0.0000,2156.1
130000,0.9667,1.0000,746.184,0.1261,679.910,0.0845,36.6830,-353.6884,0.0000,2293.4
140000,1.0000,1.0000,776.236,0.1256,761.902,0.0870,36.4270,-359.0626,0.0000,2430.1
150000,1.0000,1.0000,770.603,0.1212,770.895,0.0806,48.5586,-351.2736,0.0000,2568.3
160000,1.0000,1.0000,783.083,0.1247,780.877,0.0805,58.8978,-364.8711,0.0000,2706.5
170000,1.0000,1.0000,783.178,0.1255,775.387,0.0770,34.5577,-357.7571,0.0000,2844.4
180000,1.0000,1.0000,779.015,0.1225,777.184,0.0749,32.9840,-369.7273,0.0000,2981.3
190000,1.0000,1.0000,776.391,0.1257,745.484,0.0719,34.3271,-376.3347,0.0000,3119.2
200000,1.0000,1.0000,777.613,0.1257,782.930,0.0694,30.9277,-387.4436,0.0000,3257.7
