step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
50000,0.0000,0.8000,-12.780,0.0122,-27.251,0.0500,2.5626,22.2347,0.0000,464.5
100000,0.0000,0.7000,-5.136,0.0436,2.195,0.0500,9.7634,21.0998,0.0000,903.0
150000,0.2333,0.6667,148.655,0.0918,176.008,0.0524,49.9568,10.4952,0.0000,1338.3
200000,0.1333,0.7333,67.850,0.0798,19.733,0.0616,108.1247,8.7881,0.0000,1780.5
250000,0.2333,0.8667,205.442,0.1067,252.194,0.0789,220.5527,5.4077,0.0000,2187.9
300000,0.4333,0.8333,271.560,0.1011,186.967,0.0913,195.2873,0.8154,0.0000,2591.9
350000,0.3667,0.9000,289.718,0.1220,281.414,0.0985,383.2769,-7.3491,0.0000,2995.4
400000,0.4000,0.9333,347.325,0.1272,339.126,0.1110,370.5211,0.4942,0.0000,3400.7
450000,0.5000,0.9000,353.859,0.1355,325.221,0.1252,446.9962,-8.5112,0.0000,3807.2
500000,0.5667,1.0000,439.047,0.1330,248.037,0.1441,360.1364,-33.2404,0.0000,4236.8
550000,0.5333,0.9000,412.718,0.1307,359.973,0.1616,572.8116,-41.2690,0.0000,4673.3
600000,0.6000,0.9667,439.773,0.1291,348.349,0.1725,590.2273,-63.6356,0.0000,5109.2
