step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
50000,0.0000,0.6333,-18.565,0.0115,-34.380,0.1500,1.6735,14.3924,0.0000,579.0
100000,0.0000,0.8000,-6.557,0.0091,-20.111,0.1500,2.6509,13.8400,0.0000,1131.1
150000,0.0000,0.7000,1.925,0.0392,-22.646,0.1500,3.7458,13.2471,0.0000,1660.7
200000,0.1333,0.8000,116.385,0.1029,59.628,0.1500,8.5213,11.9249,0.0000,2111.7
250000,0.5333,0.9333,411.405,0.1389,339.561,0.1500,119.2211,-6.0887,0.0000,2565.4
300000,0.6000,0.9000,427.189,0.1334,374.579,0.1500,298.5068,-39.2967,0.0000,3025.8
350000,0.7667,0.9667,499.733,0.1405,527.270,0.1500,390.9855,-61.5143,0.0000,3488.6
400000,0.6667,0.9667,488.344,0.1427,455.644,0.1500,335.8138,-60.9963,0.0000,3958.8
450000,0.7333,1.0000,569.269,0.1416,465.790,0.1652,405.4834,-85.6046,0.0000,4424.0
500000,0.8333,0.9667,537.726,0.1452,591.551,0.1829,662.0461,-106.4167,0.0000,4884.3
