epoch,train_mse,val_mse
1,0.125510,0.081473
2,0.071118,0.070318
3,0.060686,0.067266
4,0.054694,0.065340
5,0.049996,0.063530
6,0.046528,0.062049
7,0.043477,0.061185
8,0.040656,0.061543
9,0.038791,0.059848
10,0.036284,0.059105
11,0.034712,0.060775
12,0.034168,0.060364
13,0.032645,0.059913
14,0.031203,0.060200
15,0.030235,0.063975
16,0.029331,0.058122
17,0.027134,0.062941
18,0.026423,0.059724
19,0.025400,0.062215
20,0.024404,0.066741
21,0.024853,0.061003
22,0.023042,0.064144
23,0.022939,0.067143
24,0.023059,0.065137
25,0.021339,0.063559
26,0.021412,0.061346
27,0.021085,0.064308
28,0.020880,0.067423
29,0.021555,0.063609
30,0.021197,0.063493
31,0.020633,0.066009
32,0.020340,0.063729
33,0.019970,0.063393
34,0.019795,0.063922
35,0.019732,0.064344
36,0.019898,0.066791
37,0.022209,0.072736
38,0.021382,0.065021
39,0.019885,0.066020
40,0.019135,0.064684
41,0.018829,0.066092
42,0.017942,0.066986
43,0.018050,0.065644
44,0.017946,0.066813
45,0.018118,0.068987
46,0.017260,0.068026
47,0.016766,0.066422
48,0.016711,0.067632
49,0.016319,0.067075
50,0.016344,0.066831
51,0.016149,0.068572
52,0.015995,0.068312
53,0.015991,0.067636
54,0.015644,0.068131
55,0.015781,0.067321
56,0.015435,0.067789
57,0.015616,0.069221
58,0.016059,0.073504
59,0.025949,0.070717
60,0.023862,0.070369
