epoch,train_mse,val_mse
1,0.065453,0.035013
2,0.027460,0.026424
3,0.022033,0.024678
4,0.019003,0.023520
5,0.017256,0.022827
6,0.015856,0.023392
7,0.014603,0.022718
8,0.013473,0.022755
9,0.013116,0.024173
10,0.011827,0.021060
11,0.011001,0.022684
12,0.010672,0.021533
13,0.009140,0.022125
14,0.008718,0.023085
15,0.008440,0.023887
16,0.007971,0.022839
17,0.009431,0.024191
18,0.009427,0.022871
19,0.007884,0.023857
20,0.007320,0.023891
21,0.006680,0.022697
22,0.006355,0.023794
23,0.006147,0.025284
24,0.006527,0.023916
25,0.006464,0.025698
26,0.005986,0.024163
27,0.005837,0.022843
28,0.005495,0.023081
29,0.005095,0.024325
30,0.005076,0.024939
31,0.005082,0.023859
32,0.005146,0.025957
33,0.005103,0.028159
34,0.004505,0.025327
35,0.004195,0.024494
36,0.003979,0.024718
37,0.004010,0.026547
38,0.003927,0.023845
39,0.003806,0.023992
40,0.003843,0.025546
41,0.003855,0.024177
42,0.003983,0.025121
43,0.004661,0.024792
44,0.007481,0.028550
45,0.007315,0.026737
46,0.006194,0.030069
47,0.005162,0.029134
48,0.004581,0.026944
49,0.004335,0.027087
50,0.004046,0.026384
51,0.004241,0.026657
52,0.003922,0.026740
53,0.003655,0.026446
54,0.003508,0.026238
55,0.003346,0.026168
56,0.003281,0.026194
57,0.003246,0.026439
58,0.003301,0.026590
59,0.003156,0.026334
60,0.003205,0.025823
