epoch,train_mse,val_mse
1,0.016962,0.015272
2,0.015323,0.014948
3,0.014147,0.015648
4,0.013299,0.014078
5,0.013018,0.015426
6,0.012614,0.015345
7,0.011754,0.014567
8,0.011115,0.014825
9,0.010640,0.015572
10,0.010447,0.014261
11,0.010409,0.014932
12,0.010262,0.015877
13,0.009774,0.015196
14,0.009800,0.016574
15,0.009196,0.014783
16,0.008845,0.015710
17,0.009009,0.016267
18,0.009143,0.017697
19,0.009006,0.015921
20,0.008861,0.016377
21,0.008940,0.015842
22,0.009371,0.016270
23,0.009260,0.017300
24,0.010024,0.017148
25,0.008678,0.015213
