step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.5333,1.563,0.0102,-25.139,0.1500,0.2598,5.2225,0.0000,111.4
20000,0.0000,0.9667,32.329,0.0175,15.339,0.1500,0.9546,-2.1044,0.0000,234.2
30000,0.0000,0.9333,70.627,0.0386,59.047,0.1500,3.2903,-12.1434,0.0000,353.5
40000,0.9000,0.9667,642.397,0.1225,685.872,0.1507,25.6628,-53.1733,0.0000,465.7
50000,0.9667,1.0000,711.511,0.1262,694.586,0.2353,103.3253,-172.3856,0.0000,582.0
60000,0.9333,0.9667,700.324,0.1272,734.347,0.2551,70.1438,-230.1678,0.0000,694.8
70000,0.9333,1.0000,701.399,0.1244,724.472,0.2475,68.4837,-262.3567,0.0000,804.7
80000,0.9667,1.0000,736.099,0.1243,729.103,0.2340,48.6993,-289.0417,0.0000,911.7
90000,0.9667,1.0000,744.845,0.1295,735.515,0.2201,65.6270,-303.7196,0.0000,1018.0
100000,1.0000,1.0000,760.959,0.1283,749.734,0.2005,49.4312,-325.0360,0.0000,1153.4
