step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.8000,18.432,0.0440,-46.602,0.1500,0.1965,8.6924,0.0000,109.3
20000,0.1000,0.8333,58.524,0.0302,18.202,0.1500,0.8094,5.4855,0.0000,228.1
30000,0.5000,0.7667,380.818,0.0958,202.045,0.1500,19.1635,-11.8146,0.0000,341.3
40000,0.6667,0.9333,487.247,0.1182,373.702,0.1500,59.0770,-72.0295,0.0000,458.9
50000,0.7333,0.8333,527.035,0.1086,496.614,0.1910,147.9755,-134.8052,0.0000,584.2
60000,0.8667,0.9000,618.451,0.1136,643.999,0.2288,199.5035,-168.1132,0.0000,707.8
70000,1.0000,1.0000,735.201,0.1225,644.998,0.2439,88.7584,-197.7705,0.0000,835.1
80000,1.0000,1.0000,725.692,0.1211,741.610,0.2543,117.4676,-226.4347,0.0000,960.8
90000,1.0000,1.0000,737.134,0.1257,737.216,0.2370,93.6320,-269.3890,0.0000,1086.6
100000,1.0000,1.0000,741.439,0.1260,742.496,0.2219,109.4902,-282.6166,0.0000,1218.6
