step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.6000,-3.621,0.0113,-15.673,0.0500,0.1629,13.3237,0.0000,124.9
20000,0.0000,0.5667,5.803,0.0067,-0.168,0.0500,0.8766,4.6078,0.0000,237.4
30000,0.0000,0.9000,28.292,0.0095,19.345,0.0500,1.6355,-1.7777,0.0000,355.2
40000,0.0000,0.8333,23.023,0.0087,3.712,0.0500,2.8059,-1.8282,0.0000,472.4
50000,0.0000,0.8000,26.216,0.0075,23.180,0.0500,3.7943,-3.7800,0.0000,587.0
60000,0.0000,0.9333,32.359,0.0077,18.007,0.0500,4.9227,-5.9868,0.0000,705.8
70000,0.0000,0.7667,24.121,0.0068,20.061,0.0500,2.5036,-6.0927,0.0000,826.3
80000,0.0000,0.8333,23.916,0.0069,9.032,0.0500,3.4618,-7.9018,0.0000,942.1
90000,0.0000,0.8333,30.408,0.0089,26.740,0.0500,3.2724,-6.6256,0.0000,1056.8
100000,0.0000,0.8000,28.042,0.0067,21.622,0.0500,4.5056,-5.5686,0.0000,1164.7
