step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.6333,-22.587,0.0077,-40.588,0.1500,1.5919,15.9591,0.0000,256.2
50000,0.0000,0.6000,-13.633,0.0150,-28.720,0.1500,2.5952,15.0502,0.0000,512.8
75000,0.1000,0.8333,71.483,0.0519,28.647,0.1500,10.9864,12.0006,0.0000,773.2
100000,0.4000,0.7000,238.197,0.1151,208.159,0.1500,55.7400,-1.5904,0.0000,1032.8
125000,0.3667,0.9333,278.959,0.1246,243.777,0.1500,136.4793,-13.7137,0.0000,1292.7
150000,0.5333,0.8667,378.315,0.1275,363.831,0.1500,509.9590,-33.4311,0.0000,1554.6
175000,0.6333,0.9667,407.877,0.1489,330.821,0.1500,547.1566,-48.9975,0.0000,1815.3
200000,0.6333,0.9667,470.226,0.1382,333.121,0.1500,281.0560,-66.3007,0.0000,2079.4
225000,0.7333,0.8667,462.623,0.1369,537.351,0.1500,310.9870,-73.6747,0.0000,2343.2
250000,0.6000,1.0000,432.431,0.1509,500.203,0.1584,438.6774,-74.2333,0.0000,2598.9
275000,0.6667,1.0000,497.560,0.1469,464.292,0.1609,386.6529,-61.0034,0.0000,2866.9
300000,0.7667,1.0000,526.193,0.1498,478.965,0.1653,448.9381,-78.6092,0.0000,3137.8
