step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.4000,-35.280,0.0092,-56.141,0.1500,0.3210,14.1097,0.0000,113.0
20000,0.0000,0.6333,-26.344,0.0101,-46.655,0.1500,1.0346,15.8098,0.0000,222.3
30000,0.0000,0.4000,-22.898,0.0082,-44.011,0.1500,1.8646,15.7802,0.0000,342.9
40000,0.0000,0.6667,-20.110,0.0107,-41.413,0.1500,1.5964,15.6905,0.0000,463.5
50000,0.0000,0.7000,-18.985,0.0086,-30.369,0.1500,1.6935,15.9157,0.0000,589.1
60000,0.0000,0.4667,-22.905,0.0099,-34.953,0.1500,1.7808,16.0630,0.0000,707.9
70000,0.0000,0.8667,-5.616,0.0142,-31.824,0.1500,2.0000,15.6841,0.0000,827.3
80000,0.0000,0.7000,-10.409,0.0094,-32.005,0.1500,2.1693,14.4639,0.0000,938.8
90000,0.0000,0.7333,-8.420,0.0098,-26.423,0.1500,2.2004,14.8607,0.0000,1056.7
100000,0.0000,0.7000,-15.530,0.0086,-34.028,0.1500,2.1340,15.1763,0.0000,1178.3
