step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.7333,-14.396,0.0444,-8.406,0.0123,0.4082,12.7672,0.0000,111.7
20000,0.3667,0.6000,254.076,0.0683,93.221,0.0374,3.3145,-8.2194,0.0000,231.6
30000,0.2333,0.6333,172.430,0.0615,159.528,0.0872,56.7034,-49.7721,0.0000,348.3
40000,0.5333,0.7333,321.107,0.0764,255.948,0.1289,75.6338,-85.4753,0.0000,460.2
50000,0.4667,0.7667,346.674,0.0865,279.059,0.1563,75.5602,-117.9481,0.0000,576.6
60000,0.5333,0.9333,377.268,0.1142,312.211,0.1763,160.1926,-133.2501,0.0000,690.9
70000,0.6333,1.0000,481.885,0.1380,546.986,0.2064,109.3286,-155.3144,0.0000,801.8
80000,0.8333,0.9000,583.952,0.1264,616.281,0.2275,137.4711,-174.0361,0.0000,909.1
90000,0.8333,0.9333,604.251,0.1156,572.438,0.2377,111.1541,-188.8130,0.0000,1014.8
100000,0.9000,0.9667,637.698,0.1115,638.897,0.2468,87.4745,-201.4096,0.0000,1150.5
