step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.5333,-24.740,0.0130,-45.727,0.1500,1.5465,15.4786,0.0000,298.6
50000,0.0000,0.6000,-27.334,0.0166,-36.874,0.1500,2.0936,16.0600,0.0000,597.1
75000,0.0000,0.5333,-23.662,0.0130,-31.482,0.1500,2.6684,15.9437,0.0000,889.9
100000,0.0000,0.7667,-19.128,0.0180,-30.864,0.1500,2.6584,15.3411,0.0000,1194.9
125000,0.0000,0.7333,-10.683,0.0076,-34.619,0.1500,2.6784,14.6421,0.0000,1494.8
150000,0.0000,0.7333,-11.462,0.0055,-20.328,0.1500,3.1807,14.7635,0.0000,1799.4
175000,0.0000,0.6000,-16.510,0.0073,-31.993,0.1500,3.9873,15.7467,0.0000,2100.7
200000,0.0000,0.6333,-13.490,0.0084,-4.096,0.1500,3.6586,15.1742,0.0000,2400.7
225000,0.0667,0.6000,45.035,0.0592,63.314,0.1500,6.7752,13.5780,0.0000,2701.1
250000,0.2000,0.6333,162.855,0.0838,155.412,0.1500,88.2725,-0.7392,0.0000,3004.8
275000,0.4000,0.8667,253.387,0.1136,159.755,0.1500,146.7781,-1.8443,0.0000,3310.1
300000,0.3333,0.9000,290.294,0.1274,389.576,0.1500,90.3814,-6.6237,0.0000,3610.2
