step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.1667,-58.915,0.0050,-68.036,0.1500,0.9778,25.3494,0.0000,250.4
50000,0.0000,0.1333,-52.620,0.0054,-64.317,0.1500,1.8110,25.9961,0.0000,509.3
75000,0.0000,0.2000,-49.822,0.0041,-59.935,0.1500,1.7093,25.3412,0.0000,830.6
100000,0.0000,0.2333,-55.013,0.0049,-59.464,0.1500,1.6247,24.6375,0.0000,1179.4
125000,0.0000,0.2333,-52.017,0.0051,-66.439,0.1500,1.4586,24.0524,0.0000,1530.2
150000,0.0000,0.2667,-51.454,0.0032,-67.991,0.1500,1.5317,24.2255,0.0000,1886.6
175000,0.0000,0.2333,-56.527,0.0034,-67.302,0.1500,1.8340,23.4864,0.0000,2268.1
200000,0.0000,0.0667,-62.764,0.0040,-71.903,0.1500,1.8719,23.1912,0.0000,2620.9
225000,0.0000,0.1333,-61.759,0.0023,-66.329,0.1500,1.5621,23.7002,0.0000,2979.9
250000,0.0000,0.1667,-52.940,0.0034,-74.976,0.1500,1.6370,23.1317,0.0000,3330.5
275000,0.0000,0.0667,-61.546,0.0025,-67.951,0.1500,1.5896,23.2105,0.0000,3682.0
300000,0.0000,0.1000,-58.869,0.0026,-77.822,0.1500,1.6957,23.3488,0.0000,4029.0
