step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.4000,-30.354,0.0078,-46.552,0.1500,1.1580,14.9001,0.0000,252.7
50000,0.0000,0.7000,-18.985,0.0086,-30.369,0.1500,1.6935,15.9157,0.0000,515.2
75000,0.0000,0.7000,-12.388,0.0093,-38.296,0.1500,2.0739,14.8263,0.0000,842.5
100000,0.0000,0.7000,-15.530,0.0086,-34.028,0.1500,2.1340,15.1763,0.0000,1199.1
125000,0.0000,0.7333,-5.985,0.0108,-18.682,0.1500,2.4796,14.8122,0.0000,1554.0
150000,0.0000,0.7667,19.447,0.0339,-14.710,0.1500,2.5793,13.4420,0.0000,1921.7
175000,0.0000,0.9333,23.850,0.0807,-24.684,0.1500,3.4185,13.5183,0.0000,2303.4
200000,0.0000,0.8667,31.136,0.1158,-19.772,0.1500,5.1562,13.6289,0.0000,2662.3
225000,0.0667,1.0000,117.069,0.1739,48.123,0.1500,14.7005,12.6047,0.0000,3026.4
250000,0.8333,0.9667,483.640,0.1411,444.960,0.1500,166.9169,-15.4967,0.0000,3384.6
275000,0.7667,0.9000,457.375,0.1262,438.774,0.1500,301.5255,-39.8463,0.0000,3740.9
300000,0.7333,0.9667,489.510,0.1354,379.694,0.1500,331.9511,-41.3478,0.0000,4094.8
