step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.5000,-26.739,0.0091,-32.977,0.0500,1.2731,24.3632,0.0000,262.9
50000,0.0000,0.7667,-8.833,0.0386,-22.055,0.0500,3.0822,20.5971,0.0000,542.4
75000,0.0667,0.6667,73.696,0.0703,127.967,0.0500,11.2011,10.8344,0.0000,833.1
100000,0.2333,0.7667,157.752,0.0922,153.226,0.0721,93.5277,-17.0830,0.0000,1121.5
125000,0.3333,0.7667,237.775,0.1100,240.173,0.0921,134.5834,-13.9910,0.0000,1405.5
150000,0.4000,0.9000,267.451,0.1129,235.724,0.1071,201.2901,-18.7881,0.0000,1686.2
175000,0.5333,0.9667,384.920,0.1320,405.555,0.1169,351.9324,-31.0812,0.0000,1965.1
200000,0.5333,1.0000,370.870,0.1307,181.340,0.1311,256.9816,-24.7186,0.0000,2257.9
225000,0.6333,1.0000,421.427,0.1421,397.017,0.1502,283.5563,-32.8868,0.0000,2540.7
250000,0.6333,0.9333,432.985,0.1452,394.816,0.1580,373.2431,-27.2106,0.0000,2816.3
275000,0.6000,0.9667,409.518,0.1221,420.804,0.1642,388.7210,-35.1087,0.0000,3090.8
300000,0.6667,0.9667,442.759,0.1428,462.692,0.1707,312.8430,-28.6508,0.0000,3363.9
