step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.5333,-26.891,0.0115,-27.280,0.0500,1.6864,22.6381,0.0000,326.9
50000,0.0000,0.7000,-21.080,0.0183,-19.053,0.0500,2.5489,20.2959,0.0000,655.4
75000,0.0333,0.7000,61.678,0.1247,15.904,0.0500,6.6038,17.2808,0.0000,992.6
100000,0.2333,0.9000,204.256,0.1434,227.104,0.0703,100.0320,-13.4722,0.0000,1316.9
125000,0.2667,0.9000,270.708,0.1228,307.160,0.1124,208.4739,-46.5218,0.0000,1638.1
150000,0.5667,0.9333,461.061,0.1398,303.235,0.1345,220.6541,-51.6651,0.0000,1962.5
175000,0.5667,0.9333,485.856,0.1240,421.029,0.1526,322.6300,-62.5295,0.0000,2294.8
200000,0.7000,1.0000,472.898,0.1362,399.352,0.1646,167.5150,-58.4679,0.0000,2616.1
225000,0.4333,0.7667,312.003,0.1111,474.095,0.1732,302.1695,-63.8792,0.0000,2916.7
250000,0.6667,1.0000,449.139,0.1435,462.296,0.1777,251.4334,-77.1722,0.0000,3198.7
275000,0.6333,0.9333,469.438,0.1419,466.851,0.1849,701.9708,-71.6213,0.0000,3498.3
300000,0.6000,1.0000,465.511,0.1236,424.474,0.1926,402.2844,-79.9783,0.0000,3798.3
