epoch,train_mse,val_mse
1,0.080610,0.047822
2,0.040273,0.043026
3,0.036738,0.040154
4,0.034202,0.037838
5,0.031288,0.036139
6,0.028733,0.031106
7,0.025160,0.026862
8,0.021246,0.022190
9,0.017177,0.017623
10,0.013714,0.013409
11,0.010461,0.010677
12,0.008879,0.009568
13,0.007338,0.008610
14,0.006668,0.007691
15,0.006322,0.007703
16,0.005764,0.006878
17,0.005479,0.006364
18,0.005381,0.006400
19,0.005267,0.006113
20,0.005211,0.006738
21,0.005165,0.006117
22,0.005001,0.006122
23,0.004954,0.007054
24,0.004880,0.006483
25,0.005053,0.006849
26,0.004671,0.006203
27,0.004824,0.007117
28,0.004615,0.006183
29,0.004553,0.006115
30,0.004386,0.006335
31,0.004365,0.006168
32,0.004870,0.006457
33,0.004361,0.006342
34,0.004243,0.006349
35,0.004359,0.006005
36,0.004107,0.005787
37,0.004667,0.006241
38,0.004372,0.006903
39,0.004059,0.006511
40,0.004426,0.006136
41,0.004028,0.005948
42,0.004119,0.007622
43,0.004410,0.006084
44,0.004331,0.007285
45,0.004537,0.005816
46,0.004073,0.006024
47,0.003893,0.005842
48,0.003958,0.006479
49,0.003889,0.006019
50,0.003978,0.006309
51,0.003719,0.005639
52,0.003751,0.005981
53,0.003875,0.006758
54,0.003921,0.006305
55,0.004043,0.006015
56,0.003790,0.006027
57,0.003811,0.006441
58,0.003817,0.005770
59,0.003788,0.006637
60,0.003812,0.005353
