step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
125000,0.4333,0.7000,284.655,0.0526,382.675,0.0346,209.2277,-293.5644,0.0000,543.7
25000,0.9000,0.9667,490.881,0.0703,376.769,0.0017,225.8645,-2.2924,37.5000,138.9
150000,0.8333,1.0000,530.399,0.0746,540.766,0.0780,255.3346,-275.9642,0.0000,687.8
50000,0.9000,0.9667,518.432,0.0699,444.579,0.0013,199.8019,-2.4318,25.0000,291.5
175000,0.8333,0.9667,530.396,0.0785,536.343,0.0716,228.0021,-267.2581,0.0000,834.9
75000,0.9667,1.0000,533.050,0.0687,498.201,0.0011,237.0598,-2.4501,12.5000,444.0
200000,0.7667,0.9333,508.457,0.0723,505.910,0.0709,249.7138,-277.5627,0.0000,981.6
100000,0.1667,0.5667,20.129,0.0363,543.584,0.0008,143.8817,-275.0328,0.0000,592.4
125000,0.4333,0.7000,284.655,0.0526,382.675,0.0346,209.2277,-293.5644,0.0000,725.7
150000,0.8333,1.0000,530.399,0.0746,540.766,0.0780,255.3346,-275.9642,0.0000,862.9
175000,0.8333,0.9667,530.396,0.0785,536.343,0.0716,228.0021,-267.2581,0.0000,999.5
200000,0.7667,0.9333,508.457,0.0723,505.910,0.0709,249.7138,-277.5627,0.0000,1137.1
