step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.0000,0.000,0.0008,0.0,0.1500,1.0189,-28.5416,0.0,286.9
50000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,1.7133,-29.7744,0.0,578.3
75000,0.0000,0.0000,0.000,0.0005,0.0,0.1500,2.0801,-29.4225,0.0,871.6
100000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,3.8371,-30.5322,0.0,1165.1
125000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,3.2825,-32.3262,0.0,1442.2
150000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,1.4366,-27.5450,0.0,1699.5
175000,0.0333,0.0333,0.900,0.0032,0.0,0.1500,2.6036,-20.6776,0.0,1932.2
200000,0.0000,0.0000,0.000,0.0017,0.0,0.1500,0.9254,-16.1024,0.0,2162.6
225000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.1705,-14.9768,0.0,2393.9
250000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0887,-17.1728,0.0,2622.7
