step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
1500,0.0000,0.2500,-32.147,0.0038,-64.531,0.1500,0.0466,3.1420,0.0,257.2
3000,0.0000,0.3750,-5.141,0.0053,-35.384,0.1500,0.2742,4.9520,0.0,543.5
4500,0.0000,0.3438,-12.348,0.0055,-3.113,0.1500,0.2183,4.7931,0.0,822.9
6000,0.0000,0.6875,13.134,0.0016,26.747,0.1500,1.1258,3.5068,0.0,1098.1
7500,0.0000,1.0000,79.784,0.3028,34.832,0.1500,3.0813,0.9995,0.0,1369.6
9000,0.0000,0.9688,126.123,0.2514,99.918,0.1500,1.8131,-1.1790,0.0,1631.1
10500,0.0000,0.8125,64.920,0.2459,74.375,0.1500,6.8314,-4.9869,0.0,1885.6
12000,0.0000,1.0000,92.523,0.2851,85.411,0.1500,8.2435,-11.0753,0.0,2148.3
13500,0.0625,1.0000,136.826,0.2750,127.200,0.1500,6.0309,-18.1001,0.0,2411.4
15000,0.0000,1.0000,95.746,0.1949,124.431,0.1500,8.4187,-22.8321,0.0,2672.4
