step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
1500,0.0000,0.0312,-38.704,0.0007,-51.364,0.0641,0.0596,4.4622,0.0,358.5
3000,0.0000,0.9375,24.785,0.0067,-25.833,0.0426,0.5219,6.3786,0.0,735.1
4500,0.0000,0.8750,25.301,0.0045,18.662,0.0304,0.2899,6.5635,0.0,1133.6
6000,0.0000,0.8750,23.594,0.0048,25.676,0.0226,3.8206,4.7840,0.0,1557.1
7500,0.0000,0.9375,29.259,0.0057,26.179,0.0172,0.3619,3.6957,0.0,2009.6
9000,0.0000,0.9688,30.383,0.0045,27.732,0.0131,1.9220,1.7332,0.0,2449.2
10500,0.0000,0.8750,21.545,0.0094,32.617,0.0106,1.4453,1.1837,0.0,2881.1
12000,0.0000,1.0000,31.446,0.0044,29.361,0.0090,2.0236,-0.4518,0.0,3307.5
13500,0.0000,0.9062,30.586,0.0028,60.941,0.0086,1.6091,-1.0174,0.0,3652.5
15000,0.0312,0.9375,76.730,0.1462,43.966,0.0098,1.0025,-1.9640,0.0,3957.8
