step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
1500,0.0000,0.1562,-50.483,0.0016,-80.421,0.3000,0.0372,-0.2309,0.0,244.7
3000,0.0000,0.2500,-19.290,0.0097,-54.796,0.3000,0.1495,-0.4151,0.0,497.4
4500,0.0000,0.5938,-3.468,0.0090,-32.985,0.3000,0.1628,-0.7062,0.0,755.6
6000,0.0000,0.3750,-5.929,0.0024,-6.457,0.3000,2.1213,-2.7252,0.0,1012.9
7500,0.0000,0.4375,2.896,0.0028,12.438,0.3000,0.9105,-4.7619,0.0,1270.9
9000,0.0000,0.6562,12.795,0.0024,17.847,0.3000,3.5072,-8.0030,0.0,1528.9
10500,0.0000,0.6250,8.745,0.0019,25.071,0.3000,2.2774,-9.1991,0.0,1780.6
12000,0.0000,0.8750,92.224,0.2030,45.671,0.3000,2.8707,-13.3530,0.0,2034.1
13500,0.0000,1.0000,146.349,0.2367,75.175,0.3000,6.0977,-15.2381,0.0,2289.6
15000,1.0000,1.0000,667.048,0.1231,477.964,0.3000,6.3391,-18.0100,0.0,2544.5
