step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
1500,0.0000,0.0000,-81.678,0.0009,-88.924,0.5000,0.0625,-4.3946,0.0,162.4
3000,0.0000,0.0000,-81.728,0.0014,-85.944,0.5000,0.1260,-6.7500,0.0,327.9
4500,0.0000,0.0000,-76.476,0.0011,-84.455,0.5000,0.1970,-8.7946,0.0,493.7
6000,0.0000,0.0000,-75.606,0.0013,-84.882,0.5000,0.3665,-10.5896,0.0,659.7
7500,0.0000,0.0000,-76.734,0.0013,-84.771,0.5000,0.3479,-12.0124,0.0,829.9
9000,0.0000,0.0000,-75.104,0.0006,-85.500,0.5000,0.4892,-13.6996,0.0,1003.9
10500,0.0000,0.0000,-74.198,0.0016,-86.491,0.5000,0.7260,-14.6602,0.0,1179.1
12000,0.0000,0.0000,-73.194,0.0021,-86.538,0.5000,0.6555,-15.7448,0.0,1360.1
13500,0.0000,0.0000,-69.595,0.0018,-87.362,0.5000,0.5232,-17.0115,0.0,1535.8
15000,0.0000,0.0000,-72.119,0.0012,-85.959,0.5000,0.6312,-17.8461,0.0,1712.7
