step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.4000,-47.282,0.0091,-55.129,0.0500,0.9674,32.2058,0.0000,322.5
50000,0.0000,0.7000,-19.095,0.0066,-32.952,0.0500,1.9143,29.8277,0.0000,649.1
75000,0.0000,0.6667,-19.422,0.0057,-17.882,0.0500,1.8529,27.6751,0.0000,986.5
100000,0.0000,0.9333,-1.573,0.0079,-20.823,0.0500,3.5330,27.0816,0.0000,1337.2
125000,0.0000,0.9333,1.371,0.0080,-20.763,0.0500,5.4267,25.3420,0.0000,1674.9
150000,0.0000,0.7667,-6.184,0.0073,-24.902,0.0500,2.9446,26.3934,0.0000,2013.6
175000,0.0333,0.8667,12.074,0.0151,0.820,0.0500,4.9146,25.3279,0.0000,2352.5
200000,0.0333,0.6667,15.328,0.0185,4.603,0.0500,10.8397,25.2069,0.0000,2691.7
225000,0.0667,0.6667,25.102,0.0253,36.671,0.0500,18.5268,23.1153,0.0000,3012.3
250000,0.0667,0.6333,52.311,0.0357,66.740,0.0500,35.3974,19.5719,0.0000,3356.5
275000,0.1667,0.8000,98.485,0.0659,87.014,0.0500,54.1444,13.3664,0.0000,3690.4
300000,0.3333,0.8667,276.677,0.1173,178.389,0.0500,62.9440,6.5827,0.0000,4009.2
