step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.3667,-35.663,0.0137,-44.111,0.0111,0.9451,22.8606,0.0000,300.4
50000,0.0000,0.7000,-18.228,0.0200,-31.848,0.0148,2.9526,20.4306,0.0000,612.0
75000,0.0000,0.8000,-0.346,0.0729,23.096,0.0231,10.4767,17.0240,0.0000,924.5
100000,0.0000,0.7333,7.192,0.0944,-5.091,0.0283,8.8866,18.9508,0.0000,1232.6
125000,0.0000,0.6667,5.010,0.0872,15.678,0.0291,21.6716,18.2062,0.0000,1534.3
150000,0.0000,0.8333,19.359,0.1034,35.358,0.0316,10.0415,20.5210,0.0000,1837.6
175000,0.2667,0.7667,177.523,0.1337,35.831,0.0470,58.5618,13.7338,0.0000,2139.2
200000,0.1667,0.7000,114.848,0.1092,201.121,0.0526,86.5665,10.7995,0.0000,2456.2
225000,0.1667,0.9000,115.090,0.1360,52.032,0.0654,119.6577,10.3437,0.0000,2772.6
250000,0.1667,0.7333,120.750,0.1109,97.898,0.0698,124.1954,6.6743,0.0000,3088.1
275000,0.1667,0.7667,131.227,0.1307,100.471,0.0691,159.3448,11.8213,0.0000,3408.8
300000,0.2000,0.7333,174.569,0.1178,77.875,0.0753,73.7949,11.6711,0.0000,3715.0
