step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.6000,-27.671,0.0099,-44.317,0.0110,0.8309,27.8217,0.0000,344.4
50000,0.0000,0.6000,-22.977,0.0083,-8.680,0.0145,1.6716,21.9098,0.0000,685.2
75000,0.0000,0.7667,-14.904,0.0077,-28.336,0.0165,2.3407,16.1882,0.0000,1032.0
100000,0.0000,0.8000,-6.996,0.0095,-2.197,0.0179,3.1629,15.8745,0.0000,1376.6
125000,0.0000,0.8000,2.213,0.0168,0.700,0.0176,3.1273,14.6740,0.0000,1718.9
150000,0.0000,0.8333,-0.659,0.0125,-8.054,0.0184,5.5369,14.1490,0.0000,2059.0
175000,0.0000,0.9000,2.516,0.0157,-4.036,0.0191,5.3011,13.9317,0.0000,2406.7
200000,0.0667,0.7667,52.034,0.0520,26.777,0.0222,11.3927,11.6908,0.0000,2743.7
225000,0.1000,0.8333,67.669,0.0602,125.234,0.0380,36.2842,6.6829,0.0000,3070.2
250000,0.2000,0.7333,170.003,0.0737,203.462,0.0520,79.1739,-5.6329,0.0000,3408.5
275000,0.3667,0.8000,255.477,0.0902,157.525,0.0683,108.2720,-13.4143,0.0000,3740.8
300000,0.5667,0.9000,369.335,0.1515,238.001,0.0809,139.1171,-29.7919,0.0000,4070.5
