step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.2667,-57.231,0.0080,-48.664,0.0221,8.9551,17.5601,0.0000,308.1
50000,0.0000,0.1000,-68.837,0.0045,-71.454,0.0187,21.7907,12.7062,0.0000,613.9
75000,0.0000,0.3667,-43.074,0.0090,-41.403,0.0195,12.7286,21.1062,0.0000,926.6
100000,0.0000,0.2333,-56.488,0.0116,-53.258,0.0162,15.0287,23.0238,0.0000,1234.3
125000,0.0000,0.3000,-51.933,0.0078,-59.927,0.0176,15.2999,24.3798,0.0000,1533.8
150000,0.0000,0.2333,-47.726,0.0089,-46.600,0.0172,11.9311,26.1975,0.0000,1837.6
175000,0.0000,0.3000,-46.748,0.0066,-50.337,0.0163,16.0729,25.0049,0.0000,2138.8
200000,0.0000,0.5333,-45.506,0.0138,-48.227,0.0140,7.2362,27.0896,0.0000,2451.5
225000,0.0000,0.5000,-40.509,0.0142,-38.613,0.0140,4.3266,28.5005,0.0000,2771.3
250000,0.0000,0.3667,-37.372,0.0139,-40.391,0.0135,5.9979,27.5197,0.0000,3090.7
275000,0.0000,0.5000,-33.350,0.0073,-34.913,0.0138,5.5460,28.7176,0.0000,3413.1
300000,0.0000,0.6000,-21.285,0.0164,-21.344,0.0128,2.6300,28.2166,0.0000,3734.3
