epoch,train_mse,val_mse
1,0.046033,0.010655
2,0.008693,0.009128
3,0.007282,0.008373
4,0.006480,0.007123
5,0.006330,0.007797
6,0.006384,0.007179
7,0.005662,0.007229
8,0.005986,0.006715
9,0.005310,0.006455
10,0.005116,0.007080
11,0.004972,0.007037
12,0.004586,0.006427
13,0.004828,0.006792
14,0.004441,0.007588
15,0.004458,0.006397
16,0.004254,0.006530
17,0.004321,0.006598
18,0.004095,0.006636
19,0.003906,0.007342
20,0.004231,0.007812
21,0.004649,0.006850
22,0.003777,0.006645
23,0.003642,0.006441
24,0.003817,0.008431
25,0.003696,0.006324
26,0.003277,0.007524
27,0.003908,0.007371
28,0.003372,0.006594
29,0.003201,0.006774
30,0.003620,0.007122
31,0.003437,0.007185
32,0.003200,0.007308
33,0.002931,0.006713
34,0.003028,0.007231
35,0.002854,0.006766
36,0.002859,0.010997
37,0.002953,0.007021
38,0.002882,0.008042
39,0.003350,0.008043
40,0.002844,0.007327
41,0.002769,0.007049
42,0.002646,0.008922
43,0.002476,0.007916
44,0.002371,0.007269
45,0.002740,0.007465
46,0.002743,0.008145
47,0.002331,0.008853
48,0.002302,0.007077
49,0.002328,0.007053
50,0.002235,0.009195
51,0.002327,0.007795
52,0.002704,0.007617
53,0.003002,0.007554
54,0.002626,0.008504
55,0.002233,0.006403
56,0.002204,0.007397
57,0.002207,0.007609
58,0.001848,0.007597
59,0.001976,0.008303
60,0.001998,0.007946
