epoch,train_mse,val_mse
1,0.053301,0.012886
2,0.010146,0.009998
3,0.008208,0.007729
4,0.007354,0.007676
5,0.006991,0.007807
6,0.006937,0.007194
7,0.007087,0.006918
8,0.006040,0.007038
9,0.006081,0.006417
10,0.005832,0.007345
11,0.005523,0.008191
12,0.005682,0.007003
13,0.005397,0.006687
14,0.005428,0.007339
15,0.005316,0.007076
16,0.004983,0.007137
17,0.005411,0.007200
18,0.004895,0.007370
19,0.004826,0.006191
20,0.005157,0.008917
21,0.004853,0.006708
22,0.004487,0.006920
23,0.004670,0.007409
24,0.004390,0.006830
25,0.004556,0.006370
26,0.004356,0.006520
27,0.004226,0.008026
28,0.004517,0.007355
29,0.004194,0.007549
30,0.004250,0.008253
31,0.004617,0.007194
32,0.004567,0.006841
33,0.004085,0.006939
34,0.003809,0.007247
35,0.003528,0.006151
36,0.003586,0.006876
37,0.003644,0.006510
38,0.003311,0.007023
39,0.003420,0.006417
40,0.004050,0.005698
41,0.003552,0.006127
42,0.003762,0.006502
43,0.003237,0.006180
44,0.003466,0.006853
45,0.003452,0.006442
46,0.003328,0.006712
47,0.003182,0.007271
48,0.002928,0.006580
49,0.003201,0.006197
50,0.003173,0.007322
51,0.003160,0.007856
52,0.003580,0.006572
53,0.003294,0.007538
54,0.003496,0.009409
55,0.003088,0.007133
56,0.003344,0.008473
57,0.002963,0.008243
58,0.003009,0.007700
59,0.002715,0.007791
60,0.002735,0.007764
