epoch,train_mse,val_mse
1,0.045744,0.008480
2,0.007831,0.007475
3,0.006754,0.006581
4,0.006128,0.006156
5,0.005730,0.006162
6,0.004913,0.005071
7,0.004561,0.006683
8,0.005115,0.004857
9,0.004111,0.005117
10,0.004363,0.004409
11,0.003866,0.004723
12,0.003896,0.005123
13,0.003948,0.004912
14,0.003321,0.004086
15,0.003265,0.004530
16,0.003129,0.003734
17,0.003361,0.004165
18,0.003183,0.006868
19,0.003001,0.003853
20,0.003040,0.003663
21,0.002673,0.004025
22,0.002624,0.003198
23,0.002831,0.003413
24,0.002691,0.004073
25,0.002751,0.004731
26,0.002582,0.003477
27,0.002261,0.003642
28,0.002956,0.003344
29,0.002378,0.003248
30,0.002524,0.003656
31,0.002307,0.003592
32,0.002573,0.005169
33,0.002541,0.003266
34,0.002380,0.003446
35,0.002372,0.003573
36,0.002610,0.004507
37,0.002171,0.002795
38,0.002173,0.003504
39,0.002392,0.003931
40,0.002183,0.003767
41,0.002080,0.003616
42,0.002335,0.003633
43,0.001933,0.004144
44,0.001821,0.003619
45,0.001818,0.003860
46,0.001889,0.003036
47,0.001914,0.003253
48,0.001888,0.003267
49,0.001777,0.004879
50,0.001862,0.004173
51,0.001846,0.003420
52,0.001675,0.004024
53,0.001647,0.003672
54,0.002340,0.003356
55,0.001528,0.003138
56,0.001435,0.003472
57,0.001759,0.003783
58,0.001512,0.004143
59,0.001854,0.004013
60,0.002017,0.003795
