epoch,train_mse,val_mse
1,0.084519,0.041969
2,0.036539,0.035690
3,0.030721,0.029993
4,0.026285,0.027276
5,0.023482,0.024016
6,0.021199,0.023749
7,0.019805,0.020770
8,0.018066,0.020231
9,0.016595,0.019133
10,0.015524,0.019794
11,0.014747,0.018819
12,0.014426,0.017603
13,0.013812,0.016331
14,0.013062,0.015716
15,0.012574,0.015764
16,0.011983,0.016871
17,0.012073,0.017319
18,0.012042,0.015324
19,0.011614,0.014868
20,0.011234,0.016852
21,0.011682,0.015416
22,0.011036,0.016375
23,0.010861,0.014119
24,0.010483,0.014611
25,0.010692,0.014093
26,0.010235,0.014231
27,0.009886,0.013673
28,0.009684,0.016762
29,0.009517,0.014361
30,0.009265,0.014774
31,0.010067,0.013961
32,0.009145,0.014407
33,0.009183,0.013109
34,0.009041,0.013232
35,0.009161,0.014420
36,0.008651,0.014546
37,0.008604,0.015251
38,0.008679,0.015146
39,0.008807,0.015418
40,0.008399,0.015272
41,0.008366,0.013998
42,0.008521,0.014419
43,0.007975,0.013982
44,0.008018,0.014735
45,0.007654,0.014482
46,0.008405,0.014456
47,0.007663,0.013697
48,0.007535,0.014602
49,0.007329,0.014135
50,0.007148,0.013731
51,0.007233,0.014441
52,0.007454,0.014580
53,0.006943,0.015127
54,0.007192,0.013699
55,0.006826,0.014832
56,0.006561,0.014872
57,0.007079,0.016229
58,0.006694,0.014353
59,0.006598,0.014935
60,0.006860,0.015444
