step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.5000,-21.732,0.0094,-38.337,0.1500,0.6935,10.4651,0.0000,178.4
50000,0.0000,0.6000,-11.522,0.0078,-31.399,0.1500,1.5080,10.8976,0.0000,412.7
75000,0.0000,0.4333,-11.064,0.0083,-23.566,0.1500,1.9291,9.8029,0.0000,642.9
100000,0.0000,0.3333,-6.291,0.0063,-16.133,0.1500,2.3961,7.5163,0.0000,866.8
125000,0.0000,0.5333,-4.270,0.0095,-12.726,0.1500,2.2372,8.7437,0.0000,1089.5
150000,0.0000,0.8000,7.384,0.0124,-11.763,0.1500,2.4994,7.8986,0.0000,1312.6
175000,0.0000,0.7667,9.161,0.0096,-10.140,0.1500,2.7099,8.2036,0.0000,1546.2
200000,0.0000,0.6333,1.632,0.0098,-12.212,0.1500,3.9870,6.6767,0.0000,1765.6
225000,0.0000,0.8000,6.330,0.0108,-5.740,0.1500,4.6172,5.9529,0.0000,1943.9
250000,0.0000,0.6667,18.034,0.0104,0.137,0.1500,4.0184,5.4026,0.0000,2116.3
275000,0.0000,0.8000,13.554,0.0103,-8.571,0.1500,4.6725,4.4681,0.0000,2286.1
300000,0.0000,0.7667,16.395,0.0104,3.048,0.1500,6.3280,5.1161,0.0000,2491.3
