step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.7000,-43.356,0.0126,-39.117,0.0161,0.1643,17.2526,0.0000,199.5
20000,0.0000,0.6333,-2.343,0.0083,9.794,0.0288,1.2469,10.1263,0.0000,392.7
30000,0.0000,0.8667,13.777,0.0078,16.921,0.0410,2.3739,3.7703,0.0000,567.7
40000,0.0000,0.8000,26.838,0.0090,19.193,0.0496,3.2135,-0.8504,0.0000,736.2
50000,0.0000,0.9000,34.085,0.0085,23.856,0.0513,2.1901,-4.8255,0.0000,902.6
60000,0.0000,0.9000,26.999,0.0090,17.134,0.0512,2.5241,-6.0709,0.0000,1082.5
70000,0.0000,0.9333,30.196,0.0062,31.873,0.0507,2.9928,-5.6460,0.0000,1269.4
80000,0.0000,0.9000,36.443,0.0104,28.778,0.0508,2.4420,-6.6215,0.0000,1430.9
90000,0.0000,1.0000,43.546,0.0103,28.608,0.0509,3.0544,-7.5248,0.0000,1596.5
100000,0.0000,1.0000,43.072,0.0112,34.035,0.0509,2.7613,-8.8739,0.0000,1774.0
