epoch,train_mse,val_mse
1,0.095562,0.042605
2,0.038036,0.033500
3,0.031158,0.031388
4,0.027057,0.027023
5,0.023235,0.021879
6,0.018808,0.016767
7,0.014993,0.012820
8,0.012548,0.012321
9,0.010789,0.009992
10,0.010245,0.009044
11,0.008809,0.009396
12,0.008442,0.009047
13,0.007853,0.008456
14,0.007117,0.008080
15,0.007133,0.009065
16,0.007184,0.008174
17,0.006449,0.007636
18,0.006456,0.007275
19,0.005743,0.007690
20,0.005818,0.008046
21,0.005624,0.008417
22,0.005814,0.007790
23,0.005170,0.008294
24,0.005027,0.007409
25,0.005454,0.008501
26,0.005283,0.007737
27,0.005303,0.008242
28,0.005065,0.007936
29,0.004846,0.007277
30,0.004506,0.006856
31,0.004444,0.006265
32,0.004497,0.007219
33,0.004474,0.007186
34,0.004245,0.006524
35,0.003737,0.006911
36,0.004063,0.007156
37,0.004015,0.006908
38,0.003693,0.007426
39,0.003833,0.007398
40,0.003482,0.007070
41,0.003963,0.006620
42,0.003611,0.006100
43,0.003503,0.006767
44,0.003463,0.007176
45,0.003295,0.006847
46,0.003557,0.007857
47,0.003596,0.006590
48,0.004085,0.006635
49,0.003398,0.006458
50,0.003344,0.006585
51,0.003527,0.006320
52,0.003866,0.007442
53,0.003423,0.006699
54,0.003417,0.007475
55,0.003460,0.007769
56,0.003701,0.006486
57,0.004149,0.006984
58,0.003442,0.007240
59,0.003033,0.006965
60,0.003286,0.005778
