step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.4333,-52.887,0.0099,-56.872,0.0083,0.3484,21.5873,0.0000,157.0
20000,0.0000,0.5667,-30.256,0.0107,-45.234,0.0101,0.6880,23.4748,0.0000,347.6
30000,0.0000,0.4000,-30.785,0.0069,-34.326,0.0114,1.0106,20.8853,0.0000,511.5
40000,0.0000,0.5333,-27.106,0.0086,-20.711,0.0121,2.5173,20.5291,0.0000,724.0
50000,0.0000,0.7000,-27.116,0.0086,-27.302,0.0135,1.4175,19.4018,0.0000,886.0
60000,0.0000,0.6000,-18.797,0.0110,-30.484,0.0128,1.7421,17.9412,0.0000,1069.0
70000,0.0000,0.6667,-24.497,0.0109,-35.265,0.0128,1.6754,19.0455,0.0000,1231.6
80000,0.0000,0.6000,-17.507,0.0101,-31.023,0.0130,2.1433,17.9327,0.0000,1389.7
90000,0.0000,0.5667,-19.924,0.0083,-36.762,0.0129,1.8497,19.7410,0.0000,1573.5
100000,0.0000,0.7667,-12.829,0.0120,-20.397,0.0127,1.9897,20.1596,0.0000,1750.4
110000,0.0000,0.7333,-18.682,0.0103,-11.761,0.0131,3.1627,21.2531,0.0000,1927.2
120000,0.0000,0.7333,-19.190,0.0103,-35.016,0.0130,4.7607,21.7599,0.0000,2069.9
130000,0.0000,0.7000,-15.823,0.0135,-13.568,0.0134,3.4429,20.9186,0.0000,2214.0
140000,0.0000,0.6333,-15.400,0.0103,-19.925,0.0130,3.3336,22.2606,0.0000,2356.7
150000,0.0000,0.5333,-26.858,0.0096,-14.557,0.0141,4.7753,21.7760,0.0000,2500.5
160000,0.0000,0.6667,-15.694,0.0098,2.453,0.0134,4.0406,21.8183,0.0000,2644.4
170000,0.0000,0.6667,-11.949,0.0110,-17.267,0.0143,5.4674,21.2245,0.0000,2788.7
180000,0.0000,0.7333,-14.645,0.0114,-17.961,0.0138,4.3357,21.2533,0.0000,2932.1
190000,0.0000,0.7333,-9.635,0.0093,-11.221,0.0142,4.5522,21.3752,0.0000,3076.1
200000,0.0000,0.7667,-7.018,0.0126,-7.266,0.0140,4.2398,21.8618,0.0000,3221.7
