step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.2000,-67.266,0.0051,-57.969,0.0079,0.3463,23.8231,0.0000,120.5
20000,0.0000,0.4000,-40.870,0.0128,-43.158,0.0112,0.7593,26.6410,0.0000,251.4
30000,0.0000,0.4333,-26.552,0.0132,-19.075,0.0134,1.7729,24.7129,0.0000,370.3
40000,0.0000,0.6667,-22.971,0.0098,-29.844,0.0153,1.7887,22.9789,0.0000,491.0
50000,0.0000,0.8333,-23.262,0.0105,-19.012,0.0165,2.0397,19.6723,0.0000,649.4
60000,0.0000,0.7333,-21.652,0.0138,-15.856,0.0159,3.1717,19.1462,0.0000,810.4
70000,0.0000,0.7000,-7.535,0.0104,-8.194,0.0161,6.8548,18.6819,0.0000,969.6
80000,0.0000,0.8000,-7.023,0.0105,-8.648,0.0164,2.6066,17.9619,0.0000,1131.8
90000,0.0000,0.8667,-11.909,0.0080,4.553,0.0174,3.9092,17.9777,0.0000,1293.3
100000,0.0000,0.9667,0.443,0.0138,-12.689,0.0172,4.4292,16.1343,0.0000,1456.1
110000,0.0000,0.6333,-12.180,0.0172,-10.798,0.0180,4.3954,16.6588,0.0000,1617.7
120000,0.0000,0.7333,21.399,0.0374,-16.953,0.0217,8.4666,15.3374,0.0000,1781.0
130000,0.0000,0.6333,9.355,0.0335,-2.120,0.0252,13.1200,14.3455,0.0000,1952.4
140000,0.0667,0.6667,72.753,0.0505,44.778,0.0323,17.8267,13.0138,0.0000,2120.1
150000,0.2333,0.8333,162.111,0.0917,86.792,0.0431,41.8910,6.7751,0.0000,2277.3
160000,0.2000,0.7667,164.667,0.0929,155.895,0.0518,45.4687,-3.6839,0.0000,2431.8
170000,0.3000,0.8000,210.164,0.0996,49.608,0.0609,65.7066,-0.8213,0.0000,2591.3
180000,0.3333,0.8333,217.449,0.1034,250.203,0.0689,78.9501,-16.0814,0.0000,2750.8
190000,0.4000,0.8667,311.939,0.1074,205.766,0.0854,128.6462,-18.8123,0.0000,2905.7
200000,0.3667,0.7667,263.729,0.1045,410.129,0.0996,135.4300,-29.5085,0.0000,3062.6
