step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.2667,-54.449,0.0092,-55.420,0.0095,0.4792,19.6336,0.0000,121.1
20000,0.0000,0.5000,-43.144,0.0084,-40.916,0.0157,1.4697,19.5774,0.0000,250.6
30000,0.0000,0.4333,-44.858,0.0100,-40.784,0.0156,1.7996,17.8602,0.0000,367.4
40000,0.0000,0.7333,-29.525,0.0243,-44.048,0.0181,4.8093,16.2493,0.0000,484.9
50000,0.0000,0.6000,-34.299,0.0258,-44.562,0.0154,3.6141,19.1800,0.0000,636.1
60000,0.0000,0.6000,-23.884,0.0237,-30.252,0.0160,2.9786,19.1249,0.0000,795.9
70000,0.0000,0.7000,-21.210,0.0199,-22.209,0.0164,4.6568,18.5636,0.0000,956.4
80000,0.0000,0.8000,-15.982,0.0146,-23.084,0.0171,7.2658,18.4183,0.0000,1116.5
90000,0.0000,0.8000,-17.423,0.0265,13.432,0.0179,4.9466,19.2442,0.0000,1275.2
100000,0.0000,0.7333,-21.495,0.0235,0.445,0.0189,5.8197,18.6886,0.0000,1433.1
110000,0.0000,0.7000,3.991,0.0200,-29.513,0.0204,13.1412,16.0182,0.0000,1592.3
120000,0.0000,0.6667,-21.051,0.0337,18.429,0.0206,25.5525,16.2357,0.0000,1754.2
130000,0.0000,0.7333,-22.127,0.0320,-5.206,0.0204,12.5220,15.9073,0.0000,1931.2
140000,0.0000,0.6333,-5.938,0.0400,-17.975,0.0232,11.2868,16.2519,0.0000,2092.4
150000,0.0000,0.6000,7.425,0.0289,32.051,0.0246,19.2887,12.2202,0.0000,2253.5
160000,0.0000,0.8000,-2.084,0.0274,19.736,0.0256,46.0767,13.8866,0.0000,2411.0
170000,0.0333,0.7000,-10.612,0.0199,8.688,0.0275,26.8644,9.7124,0.0000,2571.9
180000,0.0000,0.5667,-23.728,0.0100,33.708,0.0289,65.3392,14.6358,0.0000,2731.9
190000,0.0000,0.6667,10.690,0.0450,1.166,0.0310,41.3603,15.1273,0.0000,2888.1
200000,0.0333,0.6333,-4.218,0.0154,30.432,0.0294,42.1139,12.5281,0.0000,3046.3
