step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.7333,-30.078,0.0071,-30.552,0.0097,0.1589,17.5327,0.0000,120.3
20000,0.0000,0.7000,-10.846,0.0099,-5.789,0.0168,0.3707,10.6119,0.0000,252.8
30000,0.0000,0.7333,-8.734,0.0070,-13.506,0.0197,0.8559,5.2762,0.0000,371.9
40000,0.0000,0.7333,-2.504,0.0065,16.114,0.0233,1.3511,2.1212,0.0000,492.8
50000,0.0000,0.6333,-8.681,0.0070,1.216,0.0246,1.0365,-0.8305,0.0000,648.0
60000,0.0000,0.7333,5.583,0.0065,4.803,0.0260,1.2779,-0.9900,0.0000,809.4
70000,0.0000,0.6333,-5.022,0.0046,11.849,0.0268,2.1532,-1.6503,0.0000,973.3
80000,0.0000,0.6667,-2.346,0.0056,8.983,0.0256,1.7129,-2.7484,0.0000,1137.4
90000,0.0000,0.7667,3.207,0.0059,3.496,0.0253,3.0756,-3.6476,0.0000,1295.4
100000,0.0000,0.7667,-0.001,0.0064,5.965,0.0255,2.9528,-3.1888,0.0000,1455.8
110000,0.0000,0.7000,1.222,0.0038,4.533,0.0261,2.5369,-3.5841,0.0000,1613.5
120000,0.0000,0.7000,-0.034,0.0035,4.206,0.0267,2.7131,-3.0327,0.0000,1775.2
130000,0.0000,0.6333,1.774,0.0049,-3.695,0.0260,3.8565,-3.3078,0.0000,1949.2
140000,0.0000,0.7667,7.023,0.0055,18.489,0.0266,3.5845,-1.9393,0.0000,2120.4
150000,0.0000,0.7667,15.219,0.0051,8.868,0.0252,1.8639,-3.7651,0.0000,2282.8
160000,0.0000,0.7000,8.005,0.0037,11.228,0.0256,3.4319,-3.4576,0.0000,2444.7
170000,0.0000,0.6333,0.868,0.0060,15.072,0.0245,3.3029,-3.7447,0.0000,2607.9
180000,0.0000,0.7667,15.327,0.0064,29.435,0.0244,3.6839,-2.5339,0.0000,2771.9
190000,0.0000,0.8000,15.378,0.0060,28.229,0.0237,2.1894,-0.7745,0.0000,2931.7
200000,0.0000,0.8333,17.738,0.0052,17.223,0.0249,5.1566,-0.6475,0.0000,3089.2
