epoch,train_mse,val_mse
1,0.082867,0.041946
2,0.040657,0.038469
3,0.037974,0.036846
4,0.036552,0.035752
5,0.035403,0.035857
6,0.034307,0.034965
7,0.033680,0.034842
8,0.032777,0.034033
9,0.032039,0.034017
10,0.031882,0.034464
11,0.030870,0.033569
12,0.030089,0.032853
13,0.029762,0.032487
14,0.029194,0.033551
15,0.028686,0.032726
16,0.028190,0.032258
17,0.027070,0.031229
18,0.026713,0.030953
19,0.026165,0.031439
20,0.025920,0.032171
21,0.025606,0.030983
22,0.024947,0.029893
23,0.024493,0.030555
24,0.023922,0.029981
25,0.023976,0.029612
26,0.023543,0.029864
27,0.023529,0.030331
28,0.022755,0.029580
29,0.022328,0.029405
30,0.021617,0.029290
31,0.021772,0.029390
32,0.021151,0.027755
33,0.020664,0.028347
34,0.020257,0.028630
35,0.019867,0.027635
36,0.020487,0.029920
37,0.020021,0.029607
38,0.019271,0.027643
39,0.018939,0.028109
40,0.018786,0.027615
41,0.018176,0.028865
42,0.018319,0.028239
43,0.018548,0.028088
44,0.018025,0.027902
45,0.017668,0.027769
46,0.017237,0.027515
47,0.017541,0.027341
48,0.017094,0.028720
49,0.017016,0.029307
50,0.016634,0.028366
51,0.016830,0.028221
52,0.016058,0.028050
53,0.016008,0.028577
54,0.015778,0.028439
55,0.015564,0.029058
56,0.015306,0.027664
57,0.015721,0.027811
58,0.015151,0.028020
59,0.014792,0.027954
60,0.015061,0.027977
