epoch,train_mse,val_mse
1,0.051462,0.012027
2,0.009148,0.009186
3,0.007405,0.008244
4,0.006587,0.007937
5,0.006044,0.006920
6,0.005595,0.007433
7,0.005148,0.008361
8,0.004743,0.005750
9,0.004315,0.006361
10,0.004115,0.005539
11,0.004380,0.005343
12,0.004367,0.005732
13,0.003922,0.005039
14,0.003711,0.005743
15,0.003769,0.006057
16,0.004017,0.006606
17,0.004038,0.006174
18,0.004197,0.005767
19,0.003599,0.005454
20,0.003339,0.008174
21,0.003681,0.005275
22,0.003418,0.005390
23,0.003240,0.005629
24,0.003124,0.005117
25,0.003349,0.005632
26,0.003383,0.004271
27,0.003140,0.003967
28,0.002786,0.004746
29,0.002817,0.005004
30,0.002952,0.003950
31,0.003414,0.008078
32,0.003394,0.006029
33,0.003281,0.006127
34,0.003156,0.005413
35,0.003004,0.004467
36,0.003407,0.004522
37,0.002570,0.005415
38,0.002814,0.004590
39,0.002590,0.005135
40,0.002691,0.004436
41,0.002690,0.005617
42,0.002644,0.005293
43,0.002362,0.004373
44,0.002643,0.009850
45,0.003327,0.004602
46,0.002952,0.006112
47,0.002489,0.005188
48,0.002503,0.004366
49,0.002942,0.005003
50,0.002484,0.004546
51,0.002694,0.005688
52,0.002611,0.004437
53,0.002202,0.006045
54,0.002372,0.004760
55,0.002097,0.005283
56,0.002398,0.004664
57,0.002188,0.004154
58,0.002099,0.004031
59,0.002161,0.003808
60,0.002365,0.005329
