epoch,train_mse,val_mse
1,0.077060,0.040375
2,0.037213,0.037435
3,0.035073,0.035461
4,0.033653,0.034584
5,0.032463,0.034570
6,0.031608,0.033591
7,0.030840,0.034066
8,0.030330,0.033277
9,0.029610,0.032577
10,0.029074,0.031703
11,0.028338,0.032247
12,0.027875,0.032792
13,0.027778,0.032387
14,0.026960,0.031018
15,0.026490,0.032791
16,0.026315,0.031762
17,0.025729,0.031179
18,0.025072,0.031014
19,0.024778,0.032071
20,0.024573,0.032443
21,0.024014,0.031185
22,0.023554,0.032582
23,0.022914,0.030868
24,0.022679,0.031614
25,0.022772,0.029916
26,0.022076,0.030167
27,0.021706,0.031978
28,0.021455,0.030859
29,0.021318,0.030965
30,0.021229,0.030126
31,0.020685,0.030963
32,0.020711,0.030932
33,0.020287,0.031340
34,0.019683,0.030207
35,0.019120,0.030855
36,0.019219,0.029980
37,0.018676,0.030960
38,0.018431,0.030323
39,0.018043,0.029167
40,0.017893,0.031146
41,0.017830,0.031339
42,0.017293,0.031691
43,0.017017,0.030818
44,0.017000,0.029505
45,0.016557,0.029626
46,0.016449,0.029719
47,0.015960,0.029570
48,0.016193,0.031875
49,0.015786,0.029828
50,0.015573,0.029109
51,0.015075,0.030118
52,0.014701,0.030618
53,0.014429,0.029933
54,0.014681,0.030346
55,0.014037,0.030228
56,0.013986,0.030860
57,0.013976,0.029425
58,0.013657,0.030103
59,0.013229,0.030311
60,0.013270,0.029648
